"local time Perm";"T"
"28.04.2020 23:30";"8.0"
"28.04.2020 23:00";"8.0"
"28.04.2020 22:30";"8.0"
"28.04.2020 22:00";"8.0"
"28.04.2020 21:30";"8.0"
"28.04.2020 21:00";"10.0"
"28.04.2020 20:30";"10.0"
"28.04.2020 20:00";"10.0"
"28.04.2020 19:30";"10.0"
"28.04.2020 19:00";"10.0"
"28.04.2020 18:30";"11.0"
"28.04.2020 18:00";"12.0"
"28.04.2020 17:30";"12.0"
"28.04.2020 17:00";"12.0"
"28.04.2020 16:30";"11.0"
"28.04.2020 16:00";"11.0"
"28.04.2020 15:30";"10.0"
"28.04.2020 15:00";"10.0"
"28.04.2020 14:30";"11.0"
"28.04.2020 14:00";"11.0"
"28.04.2020 13:30";"10.0"
"28.04.2020 13:00";"12.0"
"28.04.2020 12:30";"12.0"
"28.04.2020 12:00";"11.0"
"28.04.2020 11:30";"11.0"
"28.04.2020 11:00";"11.0"
"28.04.2020 10:30";"10.0"
"28.04.2020 10:00";"9.0"
"28.04.2020 09:30";"8.0"
"28.04.2020 09:00";"8.0"
"28.04.2020 08:30";"8.0"
"28.04.2020 08:00";"7.0"
"28.04.2020 07:30";"7.0"
"28.04.2020 07:00";"7.0"
"28.04.2020 06:30";"6.0"
"28.04.2020 06:00";"6.0"
"28.04.2020 05:30";"5.0"
"28.04.2020 05:00";"6.0"
"28.04.2020 04:30";"6.0"
"28.04.2020 04:00";"6.0"
"28.04.2020 03:30";"6.0"
"28.04.2020 03:00";"6.0"
"28.04.2020 02:30";"6.0"
"28.04.2020 02:00";"7.0"
"28.04.2020 01:30";"7.0"
"28.04.2020 01:00";"7.0"
"28.04.2020 00:30";"8.0"
"28.04.2020 00:00";"9.0"
"27.04.2020 23:30";"9.0"
"27.04.2020 23:00";"10.0"
"27.04.2020 22:30";"10.0"
"27.04.2020 22:00";"11.0"
"27.04.2020 21:30";"13.0"
"27.04.2020 21:00";"14.0"
"27.04.2020 20:30";"15.0"
"27.04.2020 20:00";"15.0"
"27.04.2020 19:30";"16.0"
"27.04.2020 19:00";"17.0"
"27.04.2020 18:30";"18.0"
"27.04.2020 18:00";"18.0"
"27.04.2020 17:30";"18.0"
"27.04.2020 17:00";"18.0"
"27.04.2020 16:30";"19.0"
"27.04.2020 16:00";"18.0"
"27.04.2020 15:30";"19.0"
"27.04.2020 15:00";"20.0"
"27.04.2020 14:30";"19.0"
"27.04.2020 14:00";"19.0"
"27.04.2020 13:30";"19.0"
"27.04.2020 13:00";"18.0"
"27.04.2020 12:30";"18.0"
"27.04.2020 12:00";"18.0"
"27.04.2020 11:30";"16.0"
"27.04.2020 11:00";"14.0"
"27.04.2020 10:30";"10.0"
"27.04.2020 10:00";"7.0"
"27.04.2020 09:30";"6.0"
"27.04.2020 09:00";"5.0"
"27.04.2020 08:30";"4.0"
"27.04.2020 08:00";"4.0"
"27.04.2020 07:30";"4.0"
"27.04.2020 07:00";"3.0"
"27.04.2020 06:30";"3.0"
"27.04.2020 06:00";"2.0"
"27.04.2020 05:30";"2.0"
"27.04.2020 05:00";"3.0"
"27.04.2020 04:30";"3.0"
"27.04.2020 04:00";"3.0"
"27.04.2020 03:30";"3.0"
"27.04.2020 03:00";"4.0"
"27.04.2020 02:30";"4.0"
"27.04.2020 02:00";"5.0"
"27.04.2020 01:30";"5.0"
"27.04.2020 01:00";"5.0"
"27.04.2020 00:30";"6.0"
"27.04.2020 00:00";"6.0"
"26.04.2020 23:30";"7.0"
"26.04.2020 23:00";"6.0"
"26.04.2020 22:30";"7.0"
"26.04.2020 22:00";"7.0"
"26.04.2020 21:30";"7.0"
"26.04.2020 21:00";"7.0"
"26.04.2020 20:30";"7.0"
"26.04.2020 20:00";"7.0"
"26.04.2020 19:30";"8.0"
"26.04.2020 19:00";"8.0"
"26.04.2020 18:30";"8.0"
"26.04.2020 18:00";"9.0"
"26.04.2020 17:30";"14.0"
"26.04.2020 17:00";"13.0"
"26.04.2020 16:30";"16.0"
"26.04.2020 16:00";"17.0"
"26.04.2020 15:30";"17.0"
"26.04.2020 15:00";"18.0"
"26.04.2020 14:30";"16.0"
"26.04.2020 14:00";"16.0"
"26.04.2020 13:30";"16.0"
"26.04.2020 13:00";"15.0"
"26.04.2020 12:30";"13.0"
"26.04.2020 12:00";"13.0"
"26.04.2020 11:30";"12.0"
"26.04.2020 11:00";"13.0"
"26.04.2020 10:30";"13.0"
"26.04.2020 10:00";"12.0"
"26.04.2020 09:30";"11.0"
"26.04.2020 09:00";"10.0"
"26.04.2020 08:30";"9.0"
"26.04.2020 08:00";"8.0"
"26.04.2020 07:30";"5.0"
"26.04.2020 07:00";"4.0"
"26.04.2020 06:30";"4.0"
"26.04.2020 06:00";"3.0"
"26.04.2020 05:30";"3.0"
"26.04.2020 05:00";"3.0"
"26.04.2020 04:30";"2.0"
"26.04.2020 04:00";"3.0"
"26.04.2020 03:30";"2.0"
"26.04.2020 03:00";"2.0"
"26.04.2020 02:30";"2.0"
"26.04.2020 02:00";"2.0"
"26.04.2020 01:30";"4.0"
"26.04.2020 01:00";"4.0"
"26.04.2020 00:30";"4.0"
"26.04.2020 00:00";"4.0"
"25.04.2020 23:30";"4.0"
"25.04.2020 23:00";"4.0"
"25.04.2020 22:30";"4.0"
"25.04.2020 22:00";"4.0"
"25.04.2020 21:30";"3.0"
"25.04.2020 21:00";"3.0"
"25.04.2020 20:30";"4.0"
"25.04.2020 20:00";"4.0"
"25.04.2020 19:30";"4.0"
"25.04.2020 19:00";"4.0"
"25.04.2020 18:30";"4.0"
"25.04.2020 18:00";"3.0"
"25.04.2020 17:30";"3.0"
"25.04.2020 17:00";"2.0"
"25.04.2020 16:30";"3.0"
"25.04.2020 16:00";"4.0"
"25.04.2020 15:30";"4.0"
"25.04.2020 15:00";"5.0"
"25.04.2020 14:30";"4.0"
"25.04.2020 14:00";"3.0"
"25.04.2020 13:30";"3.0"
"25.04.2020 13:00";"4.0"
"25.04.2020 12:30";"4.0"
"25.04.2020 12:00";"5.0"
"25.04.2020 11:30";"4.0"
"25.04.2020 11:00";"3.0"
"25.04.2020 10:30";"3.0"
"25.04.2020 10:00";"3.0"
"25.04.2020 09:30";"2.0"
"25.04.2020 09:00";"1.0"
"25.04.2020 08:30";"0.0"
